idx,근거,사고명,본문,원인 키워드,원인,발생지표,요약,재발방지대책,조치결과,DATA,비고
908.00,GYRO 159,,"""기내 면세품 판매 중이었고 사무장과 다른 객실승무원 1명이 각각 전방 준비실(gallery)과 후방 준비실에 있었다. 승무원 중 한 명이 후방 왼편 화장실에 흡연한 흔적이 있다고 보고하였다.
가서 확인해보니 화장실 문 밖에서도 담배냄새가 났고 화장실 안에서도 담배 냄새가 났다.
승무원이항공안전자율보고제도 효통로에서 후방 준비실로 이동하면서 승객 한 명이 좌석으로 이동하는 것을 보았는데 당시에 움직인 승객은 그 승객 한 명뿐이었다.
사무장이 그 승객에게 가서 흡연 여부를 확인하자, 해당 승객은 담배 핀 사실을 인정하며 한 모금 피고 말았다고 얘기하고 다른 말은 없었다.
승객에게 기내 흡연이 항공법에 위반되어 처벌받을 수 있다고 안내를 하였고, 담배와 여권을 달라고 요청하였다. 승객은 말없이 담배와 여권을 내주었다.
해당 승객에게는 기장에게 사안을 보고한 후 다시 말씀드리겠다고 하였다.
기장에게 보고하자 승객이 '죄송하다'라고 말했냐고 물어보았고, 승객의 반응을 말하자 공항경찰대에 인계하라고 하였다.
승객에게 기장의 조치 내용을 말하고 마지막에 하기(下機)를 요청하자 고개 끄덕이고 다른 말은 없었다.
착륙 후 모든 승객이 하기한 후에 해당 승객은 공항경찰대와 함께 인천공항경찰대로 이동하였고, 사무장도 동반하여 해당 사안에 대한 진술서를 작성하였다. 
승객이 화장실에서 흡연한 사실을 확인한 경우. 화재예방을 위하여 화장실 휴지통 및 버려진 담배꽁초를 확인하여야 한다. 또한, 동일승객이 그 이전에도 흡연하였을 가능성이 있으므로 이에 대한 확인도 필요하다. 
해당 화장실의 휴지통을 열어 연기 유무와 담배 냄새여부를 살피고, 만일의 경우를 대비하여 쌓인 휴지 위에 물을 뿌려 화재예방에 대한 조치를 취하여야 한다. ""","""승객이 화장실에서 흡연한 사실을 확인한 경우""",,,,,,,
138.00,GYRO 28호,이륙 상승 중 TCAS RA에 의한 회피기동,"부기장 초기교육훈련으로 광주공항에서 'after Take-off maintain Runway Heading' 이륙허가를 득하고 이륙 시 MFR Altitude 850피트를 지나 가속 상승 중 약 1,000피트에서 TA 정보 'Traffic, Traffic', 약 1,300피트에서 RA 정보 'Descend, Descend' Warning을 듣고 VMC 상태에서 약 V/S-500 FPM으로 강하하여(약 1,200피트까지 
강하) 회피조작한 사례임. 이때 Traffic과 고도차이는 200피트로 Display 되었음. 이후 Control Tower에 Traffic 관련사항을 문의하였으나 당시 관제사는 Traffic이 없었다고 응답하였음. ","""당시 관제사는 Traffic이 없었다고 응답하였음.""","☞ 군에서 운영하는 공항에 취항하는 민간항공기를 관제할 경우에는 군용기의 속도와 상승강하 성능을 고려하여 충분한 간격이 이루어질 수 있도록 해야 할 것이다. 위 사례와 관련하여 공군의 조사결과는 다음과 같다. 
-문서번호:감찰안39132-337(2002.3.8) 
-조사내용 
-조종사는 전술입항(고도 1,700피트/속도 350kts)하는 단계였으며, 민항기를 육안 확인한 상태로 관제사 정보에 의해 진입활주로(Runway 04) 끝으로부터 4,000피트 지점에서 Pitch Out하여 내곽장주로 진입함. 
-관제사는 민항기의 이륙 중에 군용기가 7마일에서 전술입항을 요구하여 3마일에서 재 보고할 것을 요청함. 
-관제사는 민항기가 이륙 상승하여 활주로 끝을 지날 때 민항기와의 분리를 위해 진입활주로 끝으로부터 4,000피트 지점에서 Pitch Out시켜 내곽장주 진입하게 함. 
-조사결과 
-관제사는 항공기간 안전한 분리를 위하여 항공기 성능, 후류, 접근율 등을 고려하여 시계분리 기준을 적용하였음.",,,,,,
747,GYRO 187,,"FUK APO RNAV16 APP 후에 HIGH SPD TAXIWAY를 국제선이 있는 WEST APRON 쪽이 아닌 EAST APRON으로 개방하였습니다. 개방 후 실수를 인지하여 곧바로 타워에 보고 하였고, 타워에서 특별한 문제는 없다고 통보받았으며, 그 후 정상 TAXIINSTRUCTION을 받아 RAMP로 진입하였습니다. 원인:비행 전 브리핑에서 정상적으로 TAXI 절차를 자세하게 REVIEW 하였으나, RWY 16APP 중 왼쪽으로 보이는 큰DOMESTIC RAMP를 우리 주기장으로 착각하게 되었고 항공기 앞뒤 분리가 짧아 먼저오는 HIGH SPD TAXIWAY로 개방을 하게 되었습니다. 기장, 부기장 모두 생지공항인데다VISUAL RWY34까지 REVIEW를 하다보니 착각을 일으킨 것같습니다. 비표준 운항으로 인해 B737-800화물이 다른 화물칸으로 배치되었다. 운항승무원은 적재 지시사항의 준수여부를 확인 할 수없었다. 항공기 출발을 위해 주차 브레이크가 풀어진 상태에서 지상 근무원이 기장에게 어떠한 통보도 없이 화물칸 앞문을 열었다. 이후 기장은 도착지를 향해 이륙했고, 이륙 시 발생하는 시끄러운 소음을 제외하고는 별다른 문제없이 도착지에 도착 하였다. RAMP IN 후, 승객들이 하차하는 사이 지상 근무원이 조종석으로 들어섰을 때, 기장은 화물이 현재 잘못 적재되었다고 주장하면서 하역 보고서를 가리켰다. 이 하역 보고서에는 화물칸 앞 쪽에는 단 하나의 화물만이 적재되어야 하고 그 외의 나머지 화물들은 화물칸 뒤 쪽에 실어야 한다고 명백히 나와 있었다. 하지만 기장은 뒤 쪽 화물칸은 비어있었고 모든 수화물이 화물칸 앞 쪽에 실려 있었다고 보고하였다. 이는 항공기 통제 관련 문제나 그보다 더 심각한 문제를 일으킬 수 있는 명백한 중대 사안이었다. 조종사들은 항공기 적재와 관련된 보고서를 지상 근무원과 동일하게 가지고 있어야한다. 이는 화물이 적재된 사항을 통해 이륙 성능 데이터의 재점검및 올바른 적재의 확인을 가능케 하기 때문이다.","""RWY 16APP 중 왼쪽으로 보이는 큰DOMESTIC RAMP를 우리 주기장으로 착각하게 되었고"", ""항공기 앞뒤 분리가 짧아"", ""모든 수화물이 화물칸 앞 쪽에 실려 있었다고""",,,,,,,
443.00,GYRO 96호,시카고 공항 ILS 비정상 작동,"ORD 공항에서 ILS R/W 27L 접근 중 LOC CAPTURE 되고 나서 G/S을 ENGAGE 할 무렵(고도 약 4,000FT) G/S 이 갑자기 아래로 DEVIATION 되어 G/S을 CAPTURE 하기 위해 GEAR를 내리고 강하율을 높였으나 G/S 이 여전히 낮게 지시하여 SPEED BRAKE를 사용하여 강하율을 높인 상태로 약 1,500FT 정도까지 강하하였으나 이상하게 G/S 이 ON GLIDE PATH가 되지 않았음. 부기장과 승무 보조하는 부기장이 
활주로와 PAPI를 확인하니 4 RED 였음. 그러나 이때에도 G/S은 여전히 2 DOT BELOW G/S을 지시하고 있었음. 따라서 VISUAL로 전환하여 항공기의 고도를 다시 상승시켰음. 그 후 G/S 이 PAPI의 지시와도 일치하여 MANUAL로 항공기를 조종하여 R/W 27L에 정상 착륙하였음. 접근 중 TWR에 G/S의 비정상 작동을 통보하였으며, 착륙 후 GND 에도 G/S의 비정상 작동을 보고하였음. GND에서는 우리 항공기 착륙 직전에 이륙한 항공기 때문에 발생된 것으로 추정된다는 대답을 하였음. ","""이륙한 항공기 때문에 발생된 것으로 추정된다는""","☞ 착륙을 위한 접근 중 LOC 또는 GP 장비에 순간적인 장애가 있었다는 보고서가 가끔 접수되고 있다. 이와 같은 보고내용을 접수할 경우 정확한 점검 또는 조사를 위해 동 내용을 운영기관에 통보하고 있으며, 대부분의 조사결과는 정상상태로 결론되고 있다. 다만 정확한 원인은 알 수 없으나, 이 분야 전문가들은 앞서가는 선행기의 영향으로 순간적인 전파굴절 현상이 발생되어 LOC Course 이전에서 정대신호가 들어오는 등의 일시적인 에러 현상이 발생하는 것이 아닌가? 추정하고 있다. ",,,,,,
329.00,GYRO 85호,"과거 1,2월 중 항공기 결함발생 사례 요약
o 기장석 산소마스크 고장으로 인한 지연운항 ",XXX편 항공기가 김포공항에서 출발 전 지상점검 중 기장석 산소마스크 고장이 발견되어 교체 및 정비 관계로 지연 운항함.,"""기장석 산소마스크 고장이 발견되어""","☞ 승객 탑승 전에 Checklist에 의거 실시하는 출발 전 점검은 항공기 안전운항확보를 위한 중요한 과정이므로 철저를 기하여야 하며, 또한 공항에서 지상조업 중 경미한 사고 또는 조업장비 고장 등의 사유 발생 시는 항공기의 정시운항을 어렵게하는 원인으로 작용할 수 있다. 따라서 지상조업장비의 철저한 관리 및 조업자의 안전수칙준수 등은 항상 강조되어야 할 것이다. ",,,,,,
58.00,GYRO 10호,고도계 잘못 수정,"강하하는 동안, 고도계를 0999헥토파스칼 대신 29.99로 잘못 조정하였으며 그에 따라 접근관제소는 고도경보를 발부하였다. 나는 보조 조종사에 의해 기록된 소숫점을 사용한 세개 아라비아수치의 ATIS 정보를 믿었다. ","""0999헥토파스칼 대신 29.99로 잘못 조정하였으며""",,"공중충돌, 
지형충돌, 
경로고도 이탈","강하하는 동안, 고도계를 0999헥토파스칼 대신 29.99로 잘못 
조정하였으며 그에 따라 접근관제소는 고도경보를 발부하였음.",,"헤딩편 기장은 ATIS 방송 시, 
헥토파스칼일 경우 'Altimeter 0999millibars' 수은주일 경우 `Altimeter 2999 inches'라고 단위에 대한 언급이 될 수 있도록 건의하였음.",,
420.00,GYRO 94호,이륙 상승 중 조류 충돌,야간에 제주 RWY 24로 접근 중 LEMON 부근 고도 약 4000'에서 큰소리가 들려 밖을 내다보니 조종석 우측 전방 유리창 상단에 조류 충돌 흔적이 있었음. 착륙 후 정비사에게 충돌 상황을 통보하고 창문을 점검한 결과 별다른 이상이 없었음.,"""조종석 우측 전방 유리창 상단에 조류 충돌 흔적이 있었음.""",,,,,,,
251.00,GYRO 78호,L1 Door open 경고로 인한 비상선포,"XX 공항을 이륙하여 순항고도인 FL260로 순항비행 중 PATRO 상공부근에서 L1 DOOR(CABIN) not Closed Warning과 함께 (RH/ECAM), LH/ECAM에 L1 DOOR not Locked Indication 되었음. 당시 ATC 상황이 다수의 항적이 동시에 ICN Control과 교신(Wx Deviation 등)함으로써 RADIO가 복잡하였으며 시간이 지체되면 Cabin Altitude 상승이 예상되었으므로 ICN Control로부터 관제우선권을 부여받기 위해 ' Emergency Descent' 요청하여 우선권을 부여 받은 후 10,000ft 까지 강하하던 중, 고도 20,000ft 부근에서 L1 DOOR Locked Warning 이 자동으로 없어지고 L1 DOOR Warning 이 정상으로 환원되어, 비행고도를 18,000ft로 유지하여 목적 공항까지 정상 비행하였음.","""L1 DOOR(CABIN) not Closed Warning"", ""L1 DOOR not Locked Indication"", ""다수의 항적이 동시에 ICN Control과 교신(Wx Deviation 등)함으로써 RADIO가 복잡하였으며 시간이 지체되면 Cabin Altitude 상승이 예상되었으므로"", ""L1 DOOR Locked Warning 이 자동으로 없어지고 L1 DOOR Warning 이 정상으로 환원되어""",,,,,,,
135.00,GYRO 27호,"비행안전을 위협하는 
곤충들의 출현","1. 항공기에 도착했을 때 전방 화물칸에 개미가 많이 있다는 말을 주기장 관리자로부터 보고를 받았다. 화물탑재상황을 점검한 후 화물칸의 바닥과 벽에서 살아있는 귀뚜라미 주위에 개미들이 떼지어 있는 것을 발견하였다. 항공일지에 기록하였고, 정비사가 와서 스프레이를 뿌려서 보이는 개미들은 모두 죽었으나 아직도 약간은 있었다. 정비사는 차후에 소독해야 한다고 설명하였다. 선임 정비사에게 개미들이 항공기의 전선줄에 침투하지 않았고 비행 중 어떤 문제도 일으키지 않을 것인가를 물었을 때 그는 확신하지 못했기 때문에 나는 비행을 취소하였다. 예측할 수 없는 점이 너무 많이 있었다. 
2. 이륙활주 초기에 기장은 EPR계기에 의한 출력조정에 어려움에 처했다. 나도 옆에서도 와서, 우리는 맞추도록 설정된 EPR에 출력이 안정되도록 조절하였다. 그 때 나는 N1회전속도의 정상 이륙추력이 95%인데 반해 85%를 지시하는 것을 알았다. 나는 이 사실을 기장에게 말했고, 기장은 이륙을 포기하였다. 초기활주 중이어서 우리의 속도는 최고 75놋트이었다. 우리는 주기장으로 돌아와서 비정상엔진 계기치를 기록하였다. 다음 날 정비사는 많은 곤충들을 제거하였고, 우리에게 EPR계기의 수치를 알려주는 탐지장치와 관련된 튜브와 라인에 연관된 부품들을 제거했다고 말하였다. 또한 우리는 항공기가 여러 날 동안 엔진 커버나 플러그 장착없이 주기되어 있었음을 알았다. 나는 장기간 주기 후 점검절차가 수행되었다면 이러한 사건은 피할 수 있었다고 확신한다. ","""회전속도의 정상 이륙추력이 95%인데 반해 85%를 지시하는 것을 """,,,,,,,
"1,103.00",GYRO 134,[목적공항 악시정으로 인한 회항],"김포공항을 출발하여 목적지 제주공항으로 운항 중 목적공항의 시정이 착륙최저치인 RVR 550m 미만으로 악화되어 광주공항으로 회항하였으며, 약 50분 후 제주기상이 호전되어 재운항하였음.","""목적공항의 시정이 착륙최저치인 RVR 550m 미만으로 악화되어""",,,,,,,
"1,056.00",GYRO 138,[운항 중 탑재 통신장비 고장],"경항공기로 학생과 훈련을 위해 김포공항을 이륙하여 OSN LOCAL 지역에서 훈련비행을 마치고 귀환 중, 김포 남쪽 15마일 부근에서 점차적으로 All Electric Fail 되어 비상용 무전기로 SEL APP 및 김포 TWR와 교신하여 정상 착륙하였음. 이러한 경험을 통하여 휴대용 무전기의 유용함을 새삼 느꼈음.","""All Electric Fail""",,,,,,,
"1,007.00",GYRO 143,[관제지시 착각],"부기장이 PF 임무로 OLMEN 1B 접근절차에 따라 접근 중 관제사가 발부한 관제지시를 착각하여 고도를 강하한 사례임. 당시 관제사가 발부한 관제지시는 'CLEARED TO OLMEN 1B, FL210'이었는데 내(기장)가 다른 Traffic 및 구름상태를 확인하고 있는 사이에 부기장이 'CLEARED TO DESCEND VIA OLMEN 1B ARR'로 착각하여 제한고도 아래로 강하하는 것을 인지하고, 곧바로 강하를 멈춘 다음 ATC에 다음 예정고도(FL180)로 강하를 요청하여 인가 받아 강하하였음. 우리 인근에 항적은 없었으며, 특히 경험이 적은 부기장과편조되어 비행할 경우는 항공기 상태 확인 및 CRM 준수에 보다 철저를 기하여야 할 것으로 사료됨.","""관제사가 발부한 관제지시를 착각하여 고도를 강하한"", ""경험이 적은 부기장과편조되어 비행할 경우는 항공기 상태 확인 및 CRM 준수에 보다 철저를 기하여야 할 것으로""",,,,,,,
985.00,GYRO 145,,"부기장이 PF, 나(기장)는 PM으로 중국 YNT 공항에 접근 중 겨울철 배풍 때문에 TWR contact 이후 강하를 요청하자 Traffic 관계로 불허하였음. 우리는 KAGIP를 FL128으로 통과한 후 고도 강하를 실시하였으나, YNT/21NM의 Restriction(4,990ft)을 유지하지 못할 것을 우려하여 ATC에 one orbit를 요청하 였지만 관제사는 계속 강하를 지시하였으며, Communication error를 우려하여 재차 요청하였으나 관제사가 이를 이해하지 못하고 있다는 느낌을 받았음. 따라서 우리는 '제한고도 준수는 어렵지만 착륙을 위한 강하와 착륙은 가능하다'고 통보하고 계속강하하였음. 그러나 관제사는 계속 passing ALT<물어왔으며, 우리는 APP와 landing clearance를 받고 착륙하였음. 강하 중 고도가 높을 경우 통상적으로 one orbit이라는 용어를 사용하여도움을 받았는데 당해 관제사에게는 우리의 의도가 제대로 전달되지않은 것으로 생각됨. YNT 공항은 겨울철 배풍 접근과 짧은 Final course, 그리고 강하에 어 려움을 겪는 공항임. 휴 아마 관제사가 영어에 익숙하지 못해 발생한 사례로 생각된다. 이렇게 영어가 잘 통하지 않는 공항에서는 반드시 표준용어를 사용하여야 한다. 대부분의민간 관제사는 orbit이라는 용어를 사용해도 그 의미를 이해하고는 있지만 이 사례의 경우 orbit 보다는 circle 이라는 용어를 사용했었다면 관제사가 쉽게 이해할 수도 있었을 것이다. ","""Communication error를 우려하여"", ""관제사가 이를 이해하지 못하고 있다는 느낌을 받았음"", ""제한고도 준수는 어렵지만 착륙을 위한 강하와 착륙은 가능하다"", ""관제사가 영어에 익숙하지 못해 발생한 사례로 생각된다"", ""영어가 잘 통하지 않는 공항에서는 반드시 표준용어를 사용하여야 한다""",,,,,,,
324.00,GYRO 84호,객실승무원들이 비정상 상황 인지 못한 상태에서 착륙,"비행 일정이 무기한 지연된다는 연락을 받았는데 실제로는 원래 스케줄보다 약 한 시간 후에 호출되었다. 공항에서 정비사에게 유압계통에 문제가 있는데 원인을 찾지 못했다는 얘기를 들었다. 조종사에게 어떤 절차를 밟을 생각인지 묻자 조종사는 엔진 작동에 문제가 없을 거라 답했다. 예정대로 탑승이 진행됐고 유압계통문제에 대해서는 이륙 전에도, 비행 중 조종실을 방문했을 때에도 전혀 언급이 없었다. 
정상적인 절차는 착륙 20분전에 안전벨트 사인이 켜지고 객실승무원에게 착륙준비를 알리도록 되어있다. 그러나 , 기장은 착륙 10분 전에서 야 착륙을 알리는 기내방송을 실시했다. 
(대형항공기의 경우 특별한 외부상황에 의해 불가능한 경우를 제외하고 착륙준비에 20분이 소요된다) 
나는 착륙 후 대기 중인 소방장비와 응급차량을 보고서도 누구를 기다리고 있는 것인지 궁금해 하고 있었다. 1 등석 승객들이 술렁거리기 시작할 때에서 야 상황을 파악할 수 있었다. 소방장비와 구급차량은 우리 항공기를 기다리고 있었다. 착륙 후 기내방송을 통해 기장은 몇몇 승객들이 우리 항공기 주변에 ' 친구들' 이 대기 중인 것을 봤겠지만, 이는 정상적인 절차로 항공기에 아주 미비한 기술적인 문제가 있었다고 얘기했다. 기장은 소방차량에 대해서 구체적인 설명을 하지 않았고 승객들의 질문은 나에게 쏟아졌다. 항공기는 원격지 주기장에 주기되었고 승객과 수하물을 내리는데 거의 한 시간이 소요됐다. 
착륙 후 소방차와 응급차량이 대기 할 것이라는 것을 알고 있었다면, 나는 객실 승무원들에게 상황을 알리고 만일에 있을 수 있는 비상상황에 대비하도록 지시했을 것이다. 기장이 유압문제를 사소한 문제로 판단한 듯하지만 결과적으로 비상차량이 대기 중이었다. 
착륙 후 1시간 20분 동안 기장은 승객들의 반응도 묻지 않았고 객실승무원들이 괜찮은지도 묻지 않았다. 비상 상황에서 기장의 업무량이 많다는 사실은 알고 있지만, 기장과 부기장은 항공기에 문제가 있다는 사실을 간과한 것 같으며, 객실승무원에 대한 배려가 전혀 없었다. 본인은 수년간 경미한 원인에 의한 주의 착륙(precautional landing)을 경험했지만, 이번 경우처럼 착륙 후 지상에서 겪을 상황에 대한 사전정보 없이 착륙한 적은 없었다. 객실승무원은 상황에 대한 정보제공이 없는 경우 주변상황을 정확하게 파악하기 어렵다는 것을 강조하고자 한다. ","""유압계통에 문제가"", ""기장과 부기장은 항공기에 문제가 있다는 사실을 간과한 것""","☞ CHIRP Comment:이와 같은 경우, 조종승무원과 객실승무원은 충분한 의사소통을 통해 모든 객실승무원들이 정확하게 상황을 인지하고 기장의 의도를 파악함으로써 만일의 사태에 대처할 수 있게 정신적으로 준비될 수 있도록 해야 한다. 단, 승객들이 불필요한 불안을 갖지 
않도록 하기 위해 상황설명을 착륙 후로 미루는 경우는 있을 수 있다. ",,,,,,
"1,002.00",GYRO 143,,"상승 중 항로 관제사가 'AGOVO AT 9,800m(32,100ft)' 유지 가능 여부를 질문하여 당시 우리 항공기 성능 상-200~300ft 유지가 가능할 것으로 판단되어 '가능하다'고 응답하였음. 이에 따라 우리는 발부된 AGAVO 9,800m(32,100ft) 유지를 위해 MAX ANGLE SPEED로 상승하였음. 그러나 AGAVO 약 10NM 전쯤에서 관제사의 '8NM R/H ROUTE DEVIATION' 지시에 따라 선회를 하게 됨으로서 지정고도(AGAVO/32,100ft)에 도달하지 못하고 대략 30,800ft로 통과하였음.
(만약 직진 상승하였다면 지시고도로부터-200~300ft를 유지했을 것으로 생각되나, 고고도에서 MAX ANGLE SPEED로 상승하는 과정에서 선회되면서 항공기가 STALL MARGIN을 유지하기 위해 수평선회 되어 지시고도에 미달하였음) 지시고도에 도달하지 못하자 당해 관제사는 사전에 통보하지 않았던 점에 대하여 Complaint하였으며, 우리는 당시 상황을 설명하였음.","""선회를 하게 됨으로서 지정고도(AGAVO/32,100ft)에 도달하지 못하고"", ""항공기가 STALL MARGIN을 유지하기 위해 수평선회 되어 지시고도에 미달하였음""","☞ 당시 당해 관제사는 상기 항공기가 다른 Traffic과 AGAVO FIX 부근에서 교차 통과가 예상되어 고도분리가 필요했던 상황이었을 것으로 추정된다. 즉, 양 항공기가 교차를 마칠 때까지 출발항공기의 고도를 제한하거나 아니면 교차예상지점에 도달하기 전까지 상대항공기의 고도를 통과 상승하여 법정분리를 마쳐야하는 상황이었을 것이다. (물론 분리 대상이 여러 대가 될 수도 있다) 따라서 관제사가 조종사에게 AGAVO 통과고도 9,800m(32,100ft) 유지 가능여부를 물어봤을 때, 조종사가-200~-300ft 미달을 예상했었다면 그 사실을 관제사에게 그대로 통보해주었어야 했다. 상기 사례와 같이 관제사가 조종사에게 의견을 청취하는 목적은 대개 안전을 위한 적절한 관제지시를 발부하기 위함일 것이다. 날이 갈수록 항공장비의 비약적 발전에 따른 정교한 분리가 요구되는 상황에서 ""대략""이라는 개념은 버려야 할 것이다. ",,,,,,
524.00,GYRO 106호,"스트레스, 업무피로, 주의분산","세 가지 인적요소로 인한 정비 불량으로 B737-300 항공기가 착륙 중 엔진 reverse 조작 실패유발 사례임. 
 
-스트레스:정비를 빨리 끝내도록 독촉 
-업무피로:수면부족 
-주의분산:예고 없이 업무순서 변동 
 
항공기 2대를 정비하도록 배정받고 B737의 우측 2번 창문의 열선을 살펴보고 있었다. WHC bench plug 뒤쪽에서 저항을 확인해보고자 정비매뉴얼과 전선배치도를 참고하여 circuit breaker 박스 2 개, WHC, EAU를 들어냈다. 문제된 부분을 확인한 후 part와 crimper로 필요한 조치를 취했다. 그 때 매니저로부터 지금 하던 일을 중단하고 B747 항공기의 배선작업을 시작하라는 지시를 받았다. 소형항공기보다 대형항공기가 우선이라고 했다. B737 항공기의 2번 창문 열선수리 작업이 한 참 진행 중이었지만 서둘러 마무리하고 WHC와 EAU를 교체 후 breaker 안에 넣었다. 열선을 확인해 보니 정상적으로 작동했다. 그 후 퇴근 때까지 B747 항공기의 배선작업을 하고 있는데 근무조장에게 전화연락이 왔다. B737 항공기가 다른 공항에 착륙했는데 엔진 reverse가 정상적으로 작동하지 않아 기장이 엔진을 정지했고 항공기는 gate 까지 견인되었다고 했다. 현지 확인결과 EAU가 없어서 새 EAU로 
교체했고, 원래 EAU는 E&E 개폐문 위에 있는 drip curtain 위의 E&E compartment 안에서 발견되었다고 한다. ","""스트레스:정비를 빨리 끝내도록 독촉"", ""업무피로:수면부족"", ""주의분산:예고 없이 업무순서 변동"", ""EAU가 없어서 새 EAU로 교체했고, 원래 EAU는 E&E 개폐문 위에 있는 drip curtain 위의 E&E compartment 안에서 발견되었다고 한다.""",,,,예방:주변에서 어떠한 강압이 있어도 진행 중인 정비 업무를 서둘러 끝내지 말 것. 충분한 수면을 취할 것. 매니저 등 상부로부터의 업무압박 ․ 부실한 E&E 조명상태 ․이른 아침시간에 실외작업 등이 부정적으로 작용한 것으로 보임,,,
909.00,GYRO 159,,"정상적으로 항공기 출입문이 닫힌 후 승객 환영인사를 하기 직전에 앞쪽 좌석 하단에 카메라 케이스로 추정되는 수화물을 발견하였다.
곧바로 탑승하고 있는 승객의 짐인지를 확인하였으나, 해당 수화물의 주인이 없어서 기장에게 이를 보고하였다.
기장은 회사와 연락한 후 다시 주기장으로 돌아왔고, 상황보고와 함께 정비사 대기를 요청하였다.
Ramp-in 결정을 전달받은 객실승무원은 승객들에게 상황 설명과 함께 사과방송을 실시하였다.
출입문이 열리자 지상직원에게 상황을 설명한 후에 해당 수화물을 인계하고 급유를 실시하였다.
기장이 승객들에게 상황 설명과 사과방송을 다시 실시한 후에 정상적으로 항공기 출입문을 닫고 이륙하여 운항하였다. ","""앞쪽 좌석 하단에 카메라 케이스로 추정되는 수화물을 발견하였다.""",비행 전 지상 보안점검 시. 비상장비 및 보안장비를 포함한 객실장비와 해당 편 승무원의 소지품을 제외한 일체의 물품에 대해선 확인이 필요하다. 승무원의 짐으로 보이는 경우라 할지라도 해당 비행편 승무원의 이름표가붙어있지 않아 소유자가 불분명한 경우에는 확인물품의범위에 이를 포함시켜야 한다. 승객 탑승 후 소유자 미확인 물건이 발견된 경우에는 지체 없이 기장에게 보고하여신속히 보안 및 운항 관련 조치가 취해지도록 하여야 한다. 발견된 소유자미확인 물품 이외에도. 주변에 또 다른미확인 물품이 있는지 재확인하여 기장에게 이상의 유•무를 보고하여 승객의 안전을 확보하여야 한다.,,,,,,
368.00,GYRO 88호,조종사와 관제사간 부정확한 의사 소통,"HKG에서 ICN으로 비행을 위해 홍콩 LAKES 2C DEP'를 따라 상승 중 TD VOR 진입 전 속도 220kts 고도 7000' 부근에서 DEP Cont'로부터 경로를 7mile 벗어났다는 조언을 받았음. 이에 따라 우리는 명확히 L-A-K-E-S 2C 절차를 따르고 있다고 보고하자 DEP' Cont'에서 'AFT' TD DIR' ENVAR'를 수정 지시하였음. 이륙 전 Clearance DEL'에 ATC Clearance를 요구하여 'CLEAR TO DEST' FLT' PLAN RTE LAKES 2C SQ 3521'을 받았으며, readback을 하자 ATC에서 SID 절차는 수정 
지시가 없었고 SQ 만 3541으로 수정 지시하였음. 이륙 후 DEP'에 Cont 시 'LAKES 2C LN1 CLIMB 5000''로 보고하니 'CLIMB FL250'를 지시하였음. 이러한 원인으로 서는 SID LAKES 2C와 RASSE 2C의 발음이 유사한 데서 발생한 것으로 추정되며, Clearance DEL'와 DEP' Controller 모두 가 우리의 readback을 확인하지 못한 것은 문제가 있기 때문에 홍콩 항공 당국은 SID 명칭 변경을 검토할 필요가 
있다고 사료됨. ","""SID LAKES 2C와 RASSE 2C의 발음이 유사한 데서 발생한"", ""Clearance DEL'와 DEP' Controller 모두 가 우리의 readback을 확인하지 못한 것은 문제가""","☞ 어느 공항에서 든지 외국 국적의 조종사가 SID 나 STAR 절차 수행 중 어려움을 호소하거나 잦은 실수를 한다면 그 원인을 조사하여 개선을 하여야 할 것이다. 특히 절차 명칭이나 WAY POINT 이름 등은 대부분 지명이나 고유명사를 사용 함으로서 경우에 따라서는 발음이 매우 어려운 것도 있을 수 있다. 따라서 조종사는 이러한 어려움을 관계 당국이 인지할 수 있도록 적절한 제안을 해줄 필요가 있다. 만약 당해 
국가에서 이러한 제안을 받아들이지 않는 다고 하더라도 관제사는 이 부분에 대하여 강조하고, 보다 신경을 써서 확인을 할 것이다. ",,,,,,
410.00,GYRO 93호,항로 상에서 ACAS 회피기동 사례,"B747-200 항공기와 B737 항공기가 각각 비슷한 시간대에 인접공항에서 이륙하여 상승 중, B737 항공기가 TCAS에 의한 강하 기동을 보고하였음. 
당시 관제 중인 항공기는 모두 9대 정도이었으며, 서울접근관제소로부터 이양 직전의 항공기와 반대편에서 2,000ft 분리된 상태로 비행 중인 항공기와의 고도분리에 잠시 집중함으로서 상기항공기에 대한 사전 제한사항 및 TRAFFIC INFORMATION 발부가 미흡하였음. ","""서울접근관제소로부터 이양 직전의 항공기와 반대편에서 2,000ft 분리된 상태로 비행 중인 항공기와의 고도분리에 잠시 집중함으로서"", ""상기항공기에 대한 사전 제한사항 및 TRAFFIC INFORMATION 발부가 미흡하였음""",,"☞ 우리나라 인천비행정보구역(인천 FIR)은 범위는 협소하지만 그 구조는 매우 복잡하다. 특히 수도권의 경우 인천과 김포공항의 일일 Traffic이 약 1,000 여대에 육박할 정도로 복잡한 반면에 금지 및 제한구역이 인접해 있어 관제사가 관제역량을 발휘하기에는 한계가 있다. 이러한 구조적인 문제점을 해소하기 위해서는 감시기능을 강화하여야 하며, 이를 위한 적정수의 관제사 유지 등의 조치가 필요할 것이다. ",,,,,
